,Star_name,Constellation,Distance,Mass,Radius
21,SDSS J015141.69+124429.6,,70,0.044865636,0.09968011
26,2MASS J02103857-3015313,,101,0.01431882,0.15722739
27,2MASS J02340093-6442068,,155,0.01909176,0.16647606
30,LP 771-21,,53,0.074457864,1.08
31,2MASS J02511327+0047364,,,,
33,2MASS J02535980+3206373,,184,0.06204822,0.1952497
37,2MASS J03205965+1854233,,47,0.084003744,0.11817745
38,2MASS J03231002-4631237,,192,0.021955524,0.17058658
39,SDSS J032553.17+042540.1,,59,0.04295646,0.09762485
42,2MASS J03341218-4953322,,27,0.069684924,0.10687352
44,2MASP J0345432+254023,,88,0.070639512,0.10790115
46,2MASS J03510004-0052452,,48,0.097367976,0.13050901
52,2MASS J04351612-1606574,,34,0.0954588,0.12948138
53,2MASS J04362788-4114465,,142,0.037228932,0.20244311
55,2MASS J04414489+2301513,,470,0.018137172,
56,2MASS J04433764+0002040,,82,0.021000936,0.18291814
64,SDSS J053951.99-005902.0,,41.62,0.058229868,0.10379063
67,2MASS J06085283-2753583,,102,0.036274344,0.15517213
68,WISEP J061135.13-041024.0A,,69,0.06204822,
69,WISEP J061135.13-041024.0B,,69,0.050593164,
74,2MASS J07075327-4900503,,60,0.068730336,0.10584589
81,2MASS J07522390+1612157,,60,0.001918722,6.987884
87,LHS 2021,,55,0.084003744,0.11817745
91,2MASS J08533619-0329321,,27.6,0.073503276,0.10995641
97,2MASS J10073369-4555147,,46,0.042001872,0.09659722
100,SDSS J102109.69-030420.1,,95,,
108,TWA 28,,180,0.034365168,0.24560357
111,SDSS J111010.01+011613.1,,63,0.008591292,0.12742612
113,TWA 26,,137,0.02863764,0.2260786
114,2MASSW J1146345+223053,,89,,
117,TWA 27A,,,,
118,TWA 27B,,,,
119,2MASS J12074836-3900043,,217,0.016227996,0.17572473
121,2MASS J12255432-2739466,,43,,
125,TWA 29,,262,0.001909176,2.569075
129,2MASS J13204427+0409045,,101,0.063957396,0.10379063
132,2MASS J13595510-4034582,,51,0.060139044,0.102763
133,ULAS J141623.94+134836.3,,29.7,0.030546816,0.09865248
137,2MASS J14392837+1929150,,47,0.068730336,0.10584589
138,LSPM J1440+1339,,72,0.087822096,0.12228797
144,CFBDS J150411+102717,,71,0.042001872,0.09659722
147,TVLM 868-110639,,53,0.075412452,0.11098404
159,WISEPA J164715.59+563208.2,,28,0.039138108,0.09659722
161,2MASSI J1726000+153819,,114,0.022910112,0.1438682
162,2MASSW J1728114+394859,,79,,
163,SDSSp J175032.96+175903.9,,90,0.044865636,0.09968011
164,2MASS J18283572-4849046,,39,0.04295646,0.09762485
166,2MASSW J1841086+311727,,138,0.063957396,0.10379063
167,2MASS J18432213+4040209,,46,0.091640448,0.12537086
168,2MASS J20004841-7523070,,105,0.0238647,0.19319444
169,SDSS J204749.61-071818.3,,65,0.043911048,0.09865248
170,2MASSI J2057540-025230,,47,0.06682116,0.10481826
171,2MASSW J2101154+175658,,108,,
172,2MASSI J2104149-103736,,62,0.065866572,0.10481826
174,HB 2124-4228,,113,0.089731272,0.12434323
176,2MASS J21481628+4003593,,26.3,0.05250234,0.10173537
177,2MASS J14112131-2119503,,,,
178,2MASSW J2206450-421721,,93,0.021000936,0.13667479
179,2MASSW J2208136+292121,,154,0.025773876,0.14489583
180,2MASSW J2224438-015852,,38,0.058229868,0.10173537
182,2MASS J22373255+3922398,,64,0.069684924,0.10687352
183,2MASSW J2244316+204343,,56,0.011455056,0.13256427
184,2MASS J23224684-3133231,,56,0.022910112,0.14284057
185,2MASS J23225299-6151275,,148,0.016227996,0.16339317
186,2MASS J23515044-2537367,,67,0.084003744,0.11920508
187,2MASSI J2356547-155310,,74,0.07636704,0.11201167
6,2MASS J00275592+2219328,andromeda,46.9,,
188,WISE 0005+3737,andromeda,23.2,,
193,WISE 0038+2758,andromeda,36.9,,
197,WISE 0049+2151,andromeda,24.1,,
199,WISE 0123+4142,andromeda,67.2,,
202,WISE 0146+4234,andromeda,20.5,,
204,WISE 0150+3827,andromeda,61.3,,
206,WISE 0221+3842,andromeda,73.1,,
342,WISE 2335+4222,andromeda,90.3,,
95,2MASS 0939âˆ’2448,antlia,17.4,0.030546816,0.09762485
102,2MASSW J1036530-344138Â [de],antlia,53,0.046774812,0.09968011
104,DEN 1048-3956,antlia,13.15,0.073503276,0.10995641
269,WISE 1042-3842,antlia,53.2,,
175,2MASS J21392676+0220226,aquarius,32.1,0.043911048,0.09865248
333,WISE 2237-0614,aquarius,53.5,,
339,WISE 2319-1844,aquarius,52.2,,
343,WISE 2340-0745,aquarius,37.8,,
347,WISE 2348-1028,aquarius,54.1,,
322,WISE 2014+0424,aquila,96.2,,
32,Teegarden's star,aries,12.578,0.07636704,0.13050901
205,WISE 0206+2640,aries,58.4,,
213,WISE 0307+2904,aries,82.8,,
66,LSR 0602+3910Â [de],auriga,34.6,0.026728464,0.14489583
242,WISE 0614+3912,auriga,50.2,,
248,WISE 0656+4205,auriga,54.1,,
134,SDSS J141659.78+500626.4Â [de],boã¶tes,149,0.056320692,0.10173537
136,LHS 2924,boã¶tes,38.5,0.072548688,0.10892878
139,2MASS J14482563+1031590Â [de],boã¶tes,47,0.056320692,0.10173537
140,CFBDSIR 1458+10A,boã¶tes,104,0.010595927,0.1541445
141,CFBDSIR 1458+10B,boã¶tes,104,0.008591292,0.1335919
142,TVLM 513-46546,boã¶tes,35.1,0.0715941,0.10790115
143,2MASS 1503+2525,boã¶tes,20.7,0.042001872,0.09659722
145,2MASSW J1506544+132106Â [de],boã¶tes,46,0.065866572,0.10481826
149,2MASSW J1515008+484742Â [de],boã¶tes,34,0.054411516,0.10173537
57,2MASS J04455387-3048204Â [de],caelum,42,0.061093632,0.102763
58,2MASS J04510093-3402150Â [de],caelum,69,0.000992772,7.398936
63,2MASS 0532+8246,camelopardalis,81,0.079230804,
229,WISE 0458+6434A,camelopardalis,35.9,0.01431882,0.4316046
230,WISE 0458+6434B,camelopardalis,35.9,0.00954588,0.3904994
233,WISE 0525+6739,camelopardalis,98.2,,
251,WISE 0733+7544,camelopardalis,78.3,,
85,2MASS J08251968+2115521Â [de],cancer,35,0.049638576,0.10070774
279,WISE 1311+3629,canes venatici,86.1,,
72,DENIS-P J0652197-253450Â [de],canis major,51,0.0715941,0.10790115
241,WISE 0612-3036,canis major,64.9,,
246,WISE 0627-1114,canis major,37.2,,
249,WISE 0713-2917,canis major,23.2,,
173,PSO J318.5âˆ’22,capricornus,80,0.006204822,0.15722739
325,WISE 2019-1148,capricornus,42.4,,
82,DENIS J081730.0-615520,carina,16.1,0.042001872,0.09659722
4,2MASS J00250365+4759191AB,cassiopeia,143,,
12,WISEP J004701.06+680352.1Â [fr],cassiopeia,40,0.011455056,0.1335919
116,2MASSW J1155395-372735Â [de],centaurus,31,0.061093632,0.102763
135,DENIS-P J142527.97-365023.4Â [de],centaurus,38,0.020046348,0.13564716
194,WISE 0038+8405,cepheus,101.8,,
214,WISE 0313+7807,cepheus,28,,
334,WISE 2237+7228,cepheus,46,,
7,2MASSW J0030300-145033,cetus,87.2,0.051547752,0.10070774
8,2MASS J00332386-1521309Â [de],cetus,131,0.027683052,0.14695109
15,2MASS J00584253-0651239Â [de],cetus,96,0.027683052,0.14695109
16,CFBDS J005910.90â€“011401.3,cetus,30,0.021955524,
18,SDSSp J010752.33+004156.1Â [de],cetus,51,0.049638576,0.10070774
22,DENIS-P J020529.0âˆ’115925A,cetus,65,,
23,DENIS-P J020529.0âˆ’115925B,cetus,65,,
24,DENIS-P J020529.0âˆ’115925C,cetus,65,,
25,SDSS J020742.48+000056.2Â [de],cetus,111,0.044865636,0.09968011
28,2MASS J02411151-0326587Â [de],cetus,152,0.025773876,0.14489583
34,WISE J0254+0223,cetus,24,0.06204822,0.1952497
189,WISE 0008-1739,cetus,87.1,,
201,WISE 0138-0322,cetus,57.7,,
208,WISE 0226-0211,cetus,91,,
109,Cha 110913-773444,chamaeleon,163,0.007636704,0.1849734
110,OTS 44,chamaeleon,554,0.01431882,
255,WISE 0751-7634,chamaeleon,39.1,,
257,WISE 0811-8051,chamaeleon,32,,
234,WISE 0528-3308,columba,57.4,,
275,WISE 1217+1626A,coma berenices,34.2,0.011455056,
276,WISE 1217+1626B,coma berenices,34.2,0.005727528,
153,2MASSW J1552591+294849Â [de],corona borealis,68,0.02863764,0.14695109
291,WISE 1523+3125,corona borealis,84.5,,
122,DENIS-P J1228.2-1547,corvus,66,,
107,DENIS-P J1058.7âˆ’1548,crater,49,0.061093632,0.102763
321,WISE 2030+0749,delphinus,34.2,,
326,WISE 2056+1459,delphinus,24.5,,
123,2M 1237+6526,draco,45.6,0.039138108,0.09659722
160,LSPM J1658+7027Â [de],draco,60,0.069684924,0.10687352
283,WISE 1348+6603,draco,91,,
287,WISE 1457+5815,draco,52.2,,
300,WISE 1647+5632,draco,28,,
303,WISE 1717+6129,draco,72.7,,
305,WISE 1728+5716,draco,97.8,,
315,WISE 1841+7000,draco,131.1,,
319,WISE 1952+7240,draco,44.4,,
323,WISE 2015+6646,draco,50.6,,
35,DEN 0255-4700,eridanus,16.2,0.07636704,0.09968011
40,2MASS J03264225-2102057Â [de],eridanus,80,0.017182584,0.1335919
49,2MASS J04151954âˆ’0935066,eridanus,18.6,0.02863764,0.09762485
50,SDSSp J042348.57-041403.5Â [de],eridanus,50,,
51,2MASS J04285096-2253227Â [de],eridanus,85,0.07636704,0.11201167
54,2MASS J04390101-2353083Â [de],eridanus,29.5,0.045820224,0.09968011
222,WISE 0336-0143,eridanus,55.4,,
228,WISE 0448-1935,eridanus,69.8,,
231,WISE 0500-1223,eridanus,47,,
29,2MASS J02431371âˆ’2453298,fornax,35,0.031501404,0.10173537
36,2MASS J03185403-3421292Â [de],fornax,45,0.046774812,0.09968011
43,LP 944-20,fornax,20.9,0.069684924,0.14695109
207,WISE 0223-2932,fornax,47,,
209,WISE 0241-3653,fornax,53.8,,
210,WISE 0245-3450,fornax,56.1,,
218,WISE 0325-3854,fornax,51.2,,
73,2MASS J07003664+3157266Â [de],gemini,40,,
76,2MASSI J0727182+171001Â [de],gemini,29.6,0.039138108,0.09659722
78,SDSS J074201.41+205520.5Â [de],gemini,49,0.041047284,0.09659722
79,2MASS J0746425+200032Â [fr],gemini,49.6,,
238,WISE 0607+2429,gemini,25.4,,
250,WISE 0723+3403,gemini,45.7,,
254,WISE 0750+2725,gemini,51.5,,
181,2MASS J22282889-4310262,grus,35,0.040092696,0.09659722
331,WISE 2220-3628,grus,26.4,,
340,WISE 2325-4105,grus,37.5,,
155,2MASS J16150413+1340079Â [de],hercules,48,0.040092696,0.09659722
157,2MASS J16262034+3925190Â [de],hercules,110,0.067775748,0.10584589
158,2MASSW J1632291+190441Â [de],hercules,50,0.046774812,0.09968011
295,WISE 1614+1739,hercules,32.6,,
296,WISE 1617+1807,hercules,50.2,,
298,WISE 1627+3255,hercules,50.2,,
301,WISE 1653+4444,hercules,39.5,,
302,WISE 1711+3500,hercules,60.3,,
306,WISE 1738+2732,hercules,20,,
307,WISE 1741+2553,hercules,18.9,,
310,WISE 1804+3117,hercules,30,,
311,WISE 1809+3838,hercules,74.4,,
312,WISE 1812+2721,hercules,47,,
48,DENIS-P J035726.9-441730Â [de],horologium,130,,
227,WISE 0413-4750,horologium,66.2,,
88,SDSS J083048.80+012831.1Â [de],hydra,77,0.043911048,0.09865248
89,2MASSI J0835425-081923Â [de],hydra,23.53,0.059184456,0.102763
90,2MASSI J0847287-153237Â [de],hydra,43,0.061093632,0.102763
96,2MASS J09490860-1545485Â [de],hydra,59,0.046774812,0.09865248
112,2MASS J11145133âˆ’2618235,hydra,18.2,0.031501404,0.09865248
115,2MASS J11544223-3400390Â [de],hydra,129,0.035319756,0.1541445
127,Kelu-1A,hydra,61,0.060139044,0.10070774
128,Kelu-1B,hydra,61,0.055366104,0.10070774
259,WISE 0819-0335,hydra,46,,
264,WISE 0929+0409,hydra,64.9,,
266,WISE 1018-2445,hydra,47.6,,
268,WISE 1039-1600,hydra,47.3,,
270,WISE 1051-2138,hydra,40.8,,
273,WISE 1147-2040,hydra,102,,
282,WISE 1322-2340,hydra,33.9,,
203,WISE 0148-7202,hydrus,30,,
216,WISE 0321-7347,hydrus,84.8,,
327,WISE 2134-7137,indus,42.7,,
94,2MASSI J0937347+293142,leo,20,0.040092696,0.09659722
99,2MASSI J1017075+130839Â [de],leo,108,,
103,2MASS J1047538+212423Â [de],leo,34.4,0.040092696,0.09659722
265,WISE 0952+1955,leo,72.1,,
271,WISE 1122+2550,leo,57.7,,
272,WISE 1124-0421,leo,50.6,,
62,2MASS J0523âˆ’1403,lepus,40,0.064911984,0.10379063
65,2MASS J05591914-1404488Â [de],lepus,34,,
237,WISE 0542-1628,lepus,50.6,,
146,2MASS 1507âˆ’1627,libra,23.9,0.05727528,0.10173537
151,DENIS-P J153941.96-052042.4Â [de],libra,51,0.060139044,0.102763
154,2MASSW J1555157-095605Â [de],libra,44,0.067775748,0.10584589
285,WISE 1433-0837,libra,84.8,,
286,WISE 1436-1814,libra,60,,
292,WISE 1541-2250,libra,20,,
351,2M1510,libra,120,,
152,2MASS J15462718-3325111Â [de],lupus,37,0.042001872,0.09659722
86,SDSSp J083008.12+482847.4Â [de],lynx,43,0.045820224,0.10173537
93,2MASSW J0920122+351742Â [de],lynx,95,,
245,WISE 0625+5646,lynx,67.2,,
253,WISE 0744+5628,lynx,47.3,,
258,WISE 0812+4021,lynx,63.6,,
165,LSR J1835+3259,lyra,18.5,0.073503276,0.10995641
313,WISE 1828+2650,lyra,36,,
314,WISE 1830+4542,lyra,107,,
316,WISE 1852+3537,lyra,55.4,,
317,WISE 1906+4508,lyra,51.5,,
235,WISE 0535-7500,mensa,47,,
75,UGPS J072227.51-054031.2,monoceros,13.4,0.024819288,0.10070774
239,WISE 0611-0410,monoceros,57.7,,
244,WISE 0623-0456,monoceros,37.5,,
338,WISE 2313-8037,octans,35.9,,
345,WISE 2343-7418,octans,48.6,,
304,WISE 1721+1117,ophiuchus,62.3,,
308,WISE 1746-0338,ophiuchus,83.8,,
309,WISE 1800+0134,ophiuchus,28.7,0.054411516,
59,2MASS J05002100+0330501Â [de],orion,44,0.061093632,0.102763
60,2MASS J05012406-0010452Â [de],orion,64,0.020046348,0.14181294
61,2MASS J05160945-0445499Â [de],orion,73,0.044865636,0.09968011
232,WISE 0513+0608,orion,44.7,,
236,WISE 0539-1034,orion,84.8,,
243,WISE 0614+0951,orion,51.5,,
324,WISE 2018-7423,pavo,47.9,,
0,SDSS J000013.54+255418.6Â [de],pegasus,46.1,0.045820224,0.10173537
328,WISE 2157+2659,pegasus,61.6,,
330,WISE 2213+0911,pegasus,58.7,,
332,WISE 2226+0440,pegasus,45,,
335,WISE 2239+1617,pegasus,59.7,,
344,WISE 2342+0856,pegasus,51.2,,
346,WISE 2344+1034,pegasus,46,,
348,WISE 2357+1227,pegasus,54.8,,
211,WISE 0247+3725,perseus,57.1,,
212,WISE 0305+3954,perseus,75,,
215,WISE 0316+4307,perseus,106.3,,
221,WISE 0335+4310,perseus,45.7,,
2,LHS 102BC,phoenix,,,
20,2MASS J01415823-4633574Â [de],phoenix,130,0.01909176,0.16544843
190,WISE 0015-4615,phoenix,48.6,,
192,WISE 0032-4946,phoenix,62.9,,
247,WISE 0647-6232,pictor,28,,
3,2MASS J00242463-0158201,pisces,37.7,0.075412452,0.11201167
5,2MASS J00274197+0503417,pisces,236,0.029592228,0.14797872
9,2MASS J00345157+0523050,pisces,31,0.040092696,0.09659722
10,2MASS 0036+1821,pisces,28.6,0.040092696,0.09659722
11,2MASSW J0045214+163445,pisces,57,0.021955524,0.16647606
17,2MASSI J0103320+193536,pisces,70,0.049638576,0.10070774
195,WISE 0040+0900,pisces,47.6,,
196,WISE 0049+0441,pisces,62.6,,
198,WISE 0106+1518,pisces,142.9,,
200,WISE 0135+1715,pisces,77.3,,
337,WISE 2301+0216,pisces,60.7,,
329,WISE 2209-2734,piscis austrinus,46,,
336,WISE 2255-3118,piscis austrinus,44.7,,
70,2MASS J06244595-4521548Â [de],puppis,39,0.053456928,0.10173537
71,2MASS J06411840-4322329Â [de],puppis,65,0.063957396,0.10379063
77,2MASS J07290002-3954043Â [de],puppis,25.8,0.035319756,0.09659722
80,DENIS-P J0751164-253043Â [de],puppis,55,0.067775748,0.10584589
240,WISE 0612-4920,puppis,95.2,,
256,WISE 0759-4904,puppis,38.8,,
92,2MASSI J0859254-194926Â [de],pyxis,50,0.0477294,0.10070774
261,WISE 0836-1859,pyxis,72.4,,
217,WISE 0323-6025,reticulum,45.3,,
220,WISE 0333-5856,reticulum,54.8,,
223,WISE 0350-5658,reticulum,17.7,,
224,WISE 0359-5401,reticulum,19.2,,
320,WISE 1959-3338,sagittarius,37.2,,
294,WISE 1612-3420,scorpius,55.4,,
297,WISE 1622-0959,scorpius,52.2,,
13,2MASS J00501994-3322402Â [de],sculptor,34,0.03818352,0.09659722
14,2MASS J00034227-2822410,sculptor,,,
19,2MASSI J0117474-340325Â [de],sculptor,163,0.01909176,0.16647606
191,WISE 0031-3840,sculptor,71.8,,
341,WISE 2327-2730,sculptor,70.8,,
148,SDSS J151114.66+060742.9Â [de],serpens,89,,
150,2MASSI J1526140+204341Â [de],serpens,67,0.051547752,0.10070774
156,SDSSp J162414.37+002915.6Â [de],serpens,36,0.041047284,0.09659722
289,WISE 1517+0529,serpens,72.4,,
293,WISE 1542+2230,serpens,41.1,,
98,2MASSI J1010148-040649Â [de],sextans,55,0.048683988,0.10070774
41,2MASS J03284265+2302051Â [de],taurus,98,0.051547752,0.10070774
45,Teide 1,taurus,380,0.05250234,0.38844414
47,2MASS J03552337+1133437,taurus,29.8,0.01909176,0.13564716
219,WISE 0325+0831,taurus,36.5,,
225,WISE 0410+1502,taurus,20,0.005727528,0.12023271
226,WISE 0410+1411,taurus,85.8,,
299,WISE 1639-6847,triangulum australe,16.3,,
1,2MASS J00040288-6410358,tucana,192,0.018137172,0.16750369
349,WISE 2359-7335,tucana,42.7,,
101,2MASS J10224821+5825453Â [de],ursa major,60,0.025773876,0.14489583
124,2MASSW J1239272+551537Â [de],ursa major,119,,
260,WISE 0821+1443,ursa major,68.2,,
262,WISE 0857+5604,ursa major,42.1,,
263,WISE 0906+4735,ursa major,51.5,,
267,WISE 1019+6529,ursa major,56.8,,
274,WISE 1150+6302,ursa major,32.9,,
281,WISE 1320+6034,ursa major,56.1,,
284,WISE 1405+5534,ursa major,25.3,0.02863764,0.08837618
350,WISEA 1101+5400,ursa major,111,,
288,WISE 1506+7027,ursa minor,11.1,,
290,WISE 1519+7009,ursa minor,50.9,,
83,DENIS J082303.1âˆ’491201A,vela,67,0.042001872,
84,DENIS J082303.1âˆ’491201B,vela,67,0.026728464,
105,Luhman 16B,vela,6.516,0.041047284,0.10481826
106,Luhman 16A,vela,6.516,0.03818352,0.10379063
120,2MASSI J1217110-031113Â [de],virgo,36,0.040092696,0.09659722
126,SDSSp J125453.90-012247.4Â [de],virgo,38,0.044865636,0.10070774
130,SDSSp J132629.82-003831.5Â [de],virgo,65,0.048683988,0.09968011
131,SDSSp J134646.45-003150.4Â [de],virgo,48,0.042001872,0.09659722
277,WISE 1225-1013,virgo,55.4,,
278,WISE 1311+0122,virgo,44.4,,
280,WISE 1318-1758,virgo,32.9,,
252,WISE 0734-7157,volans,34.9,,
318,WISE 1928+2356,vulpecula,22.8,,
